date,avg_uncorrected_pressure,avg_corrected_pressure,total_daily_conflict_duration
2000-03-31,1.12778,1.12778,0.0
2000-04-01,1.07222,1.07222,0.0
2000-04-02,0.93333,1.07556,160.0
2000-04-03,1.23333,1.23333,0.0
2000-04-04,1.5,1.5,0.0
2000-04-05,1.18889,1.18889,0.0
2000-04-06,1.34444,1.34444,0.0
2000-04-07,1.21667,1.21667,0.0
2000-04-08,1.23333,1.3214,240.0
2000-04-09,1.225,1.225,0.0
2000-04-10,1.22222,1.30839,190.0
2000-04-11,0.96111,0.99869,150.0
2000-04-12,1.25556,1.25556,0.0
2000-04-13,1.36111,1.37713,40.0
2000-04-14,1.21111,1.28392,160.0
2000-04-15,1.2,1.21135,30.0
2000-04-16,1.15,1.15,0.0
2000-04-17,1.25,1.27312,60.0
2000-04-18,1.01667,1.04487,110.0
2000-04-19,1.37778,1.37778,0.0
2000-04-20,1.21667,1.24744,90.0
2000-04-21,1.16667,1.16667,0.0
2000-04-22,2.05,2.05,0.0
2000-04-23,1.43333,1.53423,140.0
2000-04-24,1.30556,1.30556,0.0
2000-04-25,1.0,1.00908,30.0
2000-04-26,0.89444,0.90126,30.0
2000-04-27,1.10556,1.127,70.0
2000-04-28,0.76389,0.76832,20.0
2000-04-29,0.88333,1.0211,170.0
2000-04-30,0.89444,0.90827,30.0
2000-05-01,0.7625,0.83779,320.0
2000-05-02,0.90556,0.94537,160.0
2000-05-03,0.83333,0.83333,0.0
2000-05-04,0.95,1.0384,390.0
2000-05-05,1.01111,1.09255,270.0
2000-05-06,1.07222,1.0787,20.0
2000-05-07,0.45,0.46926,60.0
2000-05-08,0.89583,0.90101,30.0
2000-05-09,1.03333,1.03333,0.0
2000-05-10,1.0,1.0308,100.0
2000-05-11,0.68611,0.68611,0.0
2000-05-12,0.57407,0.58519,60.0
2000-05-13,1.03333,1.03333,0.0
2000-05-14,0.55833,0.59167,120.0
2000-05-15,0.67,0.73988,360.0
2000-05-16,0.67667,0.72153,340.0
2000-05-17,0.71,0.72888,130.0
2000-05-18,1.31667,1.33619,80.0
2000-05-19,0.6881,0.72066,180.0
2000-05-20,0.72778,0.76401,140.0
2000-05-21,1.15,1.23972,160.0
2000-05-22,0.96667,1.03519,250.0
2000-05-23,1.14444,1.31305,440.0
2000-05-24,1.14167,1.207,170.0
2000-05-25,0.75833,0.83649,320.0
2000-05-26,0.91667,1.05104,430.0
2000-05-27,0.78333,0.99606,480.0
2000-05-28,0.80833,0.85619,200.0
2000-05-29,0.68333,0.75321,190.0
2000-05-30,0.86667,0.95057,310.0
2000-05-31,0.92778,1.06459,500.0
2000-06-01,0.75333,0.78429,130.0
2000-06-02,0.37273,0.37273,0.0
2000-06-03,0.69333,0.69333,0.0
2000-06-04,0.54524,0.54762,10.0
2000-06-05,0.68333,0.70494,100.0
2000-06-06,0.85833,0.8772,100.0
2000-06-07,0.79,0.83005,220.0
2000-06-08,0.7,0.72531,100.0
2000-06-09,0.87083,0.87083,0.0
2000-06-10,0.67667,1.08117,1240.0
2000-06-11,0.63333,1.1075,940.0
2000-06-12,0.53056,0.61944,320.0
2000-06-13,0.60278,0.64202,270.0
2000-06-14,0.62222,0.63056,30.0
2000-06-15,0.7625,0.79257,160.0
2000-06-16,0.94167,0.94167,0.0
2000-06-17,0.875,0.8875,30.0
2000-06-18,0.62917,0.64427,70.0
2000-06-19,0.58889,0.59802,60.0
2000-06-20,0.56944,0.59983,190.0
2000-06-21,0.97083,0.98766,50.0
2000-06-22,0.93333,0.93759,20.0
2000-06-23,0.85833,0.85833,0.0
2000-06-24,0.60476,0.6122,50.0
2000-06-25,1.13333,1.13333,0.0
2000-06-26,0.51875,0.52917,50.0
2000-06-27,0.70667,0.75892,200.0
2000-06-28,0.94444,0.94444,0.0
2000-06-29,0.925,0.93176,30.0
2000-06-30,0.69333,0.69333,0.0
2000-07-01,0.98333,0.98333,0.0
2000-07-02,1.10833,1.10833,0.0
2000-07-03,0.505,0.51792,110.0
2000-07-04,0.89,0.89,0.0
2000-07-05,0.69167,0.87,750.0
2000-07-06,0.69722,0.70359,30.0
2000-07-07,0.61,0.61,0.0
2000-07-08,0.78,0.85484,240.0
2000-07-09,1.05833,1.31487,480.0
2000-07-10,0.9125,1.21543,870.0
2000-07-11,0.4463,0.59062,800.0
2000-07-12,0.75556,0.82395,210.0
2000-07-13,0.8375,1.10069,760.0
2000-07-14,0.69167,0.7331,160.0
2000-07-15,0.63056,0.73911,620.0
2000-07-16,0.65833,1.07569,1360.0
2000-07-17,0.65333,0.74279,410.0
2000-07-18,0.5125,0.5837,460.0
2000-07-19,0.87222,1.07725,660.0
2000-07-20,0.36212,0.46818,740.0
2000-07-21,0.7,0.71919,150.0
2000-07-22,0.96667,1.07582,340.0
2000-07-23,0.63,0.86056,940.0
2000-07-24,0.7125,0.89089,790.0
2000-07-25,1.36111,1.65929,590.0
2000-07-26,1.0,1.04158,150.0
2000-07-27,0.54286,0.55756,105.0
2000-07-28,0.69667,0.74538,190.0
2000-07-29,0.70333,0.78216,340.0
2000-07-30,1.00833,1.1246,340.0
2000-07-31,0.75,0.75568,20.0
2000-08-01,0.54792,0.54792,0.0
2000-08-02,1.31667,1.31667,0.0
2000-08-03,1.26667,1.26667,0.0
2000-08-04,1.01111,1.02436,50.0
2000-08-05,0.42667,0.44725,270.0
2000-08-06,0.48333,0.51296,160.0
2000-08-07,0.65417,0.70681,850.0
2000-08-08,0.57778,0.57778,0.0
2000-08-09,0.54667,0.57618,110.0
2000-08-10,0.51667,0.53361,180.0
2000-08-11,0.75,0.76962,140.0
2000-08-12,0.55952,0.55952,0.0
2000-08-13,0.52333,0.53321,40.0
2000-08-14,0.88889,0.88889,0.0
2000-08-15,0.88667,0.88667,0.0
2000-08-16,0.7,0.7,0.0
2000-08-17,0.81944,0.81944,0.0
2000-08-18,0.48333,0.49738,80.0
2000-08-19,0.55,0.55,0.0
2000-08-20,0.89444,0.89444,0.0
2000-08-21,0.55714,0.56905,50.0
2000-08-22,0.64667,0.66667,60.0
2000-08-23,0.92917,0.92917,0.0
2000-08-24,0.76389,0.76389,0.0
2000-08-25,0.70833,0.70833,0.0
2000-08-26,0.75,0.75,0.0
2000-08-27,0.47917,0.48958,50.0
2000-08-28,0.51458,0.51773,20.0
2000-08-29,0.69,0.70831,80.0
2000-08-30,0.79167,0.79167,0.0
2000-08-31,0.42083,0.44366,180.0
2000-09-01,0.66333,0.67153,50.0
2000-09-02,0.86667,0.86667,0.0
2000-09-03,0.58571,0.66014,400.0
2000-09-04,0.66429,0.68307,140.0
2000-09-05,0.70556,0.7956,490.0
2000-09-06,0.62222,0.72206,530.0
2000-09-07,1.0,1.0,0.0
2000-09-08,0.56042,0.59853,230.0
2000-09-09,0.57778,0.82844,610.0
2000-09-10,0.58542,0.62083,170.0
2000-09-11,0.86333,0.88833,150.0
2000-09-12,0.62143,0.64202,160.0
2000-09-13,0.4463,0.48378,240.0
2000-09-14,0.45667,0.52667,420.0
2000-09-15,0.80333,0.80333,0.0
2000-09-16,0.41667,0.47917,300.0
2000-09-17,0.71389,0.77844,250.0
2000-09-18,0.65714,0.69232,170.0
2000-09-19,0.72,0.75,110.0
2000-09-20,0.88333,0.88923,30.0
2000-09-21,0.84667,0.84667,0.0
2000-09-22,0.97917,0.97917,0.0
2000-09-23,0.725,0.78318,160.0
2000-09-24,0.95333,0.99101,130.0
2000-09-25,1.05833,1.12003,200.0
2000-09-26,0.65476,0.65476,0.0
2000-09-27,0.71111,0.71558,20.0
2000-09-28,0.94167,0.99167,170.0
2000-09-29,0.69667,0.76046,320.0
2000-09-30,0.98333,1.16909,410.0
2000-10-01,0.725,0.92908,1020.0
2000-10-02,0.80833,1.09697,1020.0
2000-10-03,0.8,0.90616,260.0
2000-10-04,0.80667,1.00824,640.0
2000-10-05,1.26667,1.26667,180.0
2000-10-06,0.66905,0.76012,410.0
2000-10-07,0.3625,1.01737,1790.0
2000-10-08,0.38611,0.575,1780.0
2000-10-09,0.46111,0.89077,1610.0
2000-10-10,0.71111,0.98128,610.0
2000-10-11,1.18333,1.31481,110.0
2000-10-12,0.49333,1.01433,1640.0
2000-10-13,0.47619,0.77976,1300.0
2000-10-14,0.38333,0.54222,960.0
2000-10-15,0.51667,0.70866,1320.0
2000-10-16,0.58333,1.09566,1560.0
2000-10-17,0.57381,0.74172,780.0
2000-10-18,0.74667,0.91265,560.0
2000-10-19,0.71944,0.81021,340.0
2000-10-20,0.65,0.91711,900.0
2000-10-21,0.6,1.07069,1040.0
2000-10-22,0.43542,0.6077,970.0
2000-10-23,0.59167,0.82222,960.0
2000-10-24,0.49167,0.51415,160.0
2000-10-25,0.50833,0.53069,140.0
2000-10-26,0.85,0.91667,160.0
2000-10-27,0.60208,0.63333,150.0
2000-10-28,0.68333,0.86252,490.0
2000-10-29,0.39524,0.51905,650.0
2000-10-30,1.08889,1.20852,370.0
2000-10-31,0.68611,0.71188,150.0
2000-11-01,0.79667,0.93402,550.0
2000-11-02,0.69,0.93723,910.0
2000-11-03,0.79444,0.84941,200.0
2000-11-04,0.77778,1.14402,680.0
2000-11-05,0.92222,0.97249,200.0
2000-11-06,1.49167,1.49167,0.0
2000-11-07,0.85,0.85,0.0
2000-11-08,1.525,1.87024,550.0
2000-11-09,1.22222,1.24319,40.0
2000-11-10,1.60833,1.69158,110.0
2000-11-12,0.86667,0.93989,180.0
2000-11-13,1.76667,1.76667,0.0
2000-11-14,0.92083,0.97917,140.0
2000-11-15,1.625,1.64866,30.0
2000-11-16,0.8125,0.86835,150.0
2000-11-17,1.69167,1.70635,20.0
2000-11-18,1.89167,1.89167,0.0
2000-11-19,0.72,0.72,0.0
2000-11-20,2.24167,2.35632,140.0
2000-11-21,0.59722,0.60796,40.0
2000-11-22,1.76667,1.8062,50.0
2000-11-23,0.96667,0.96667,0.0
2000-11-24,1.93333,1.93333,0.0
2000-11-26,0.925,0.94716,30.0
2000-11-27,1.23333,1.23333,0.0
2000-11-28,0.8875,0.90211,40.0
2000-11-29,0.96667,0.96667,0.0
2000-11-30,1.18333,1.19773,30.0
2000-12-01,1.70833,1.70833,0.0
2000-12-02,1.61667,1.80143,120.0
2000-12-03,1.575,1.575,0.0
2000-12-04,0.8875,0.8875,0.0
2000-12-05,1.5,1.5,0.0
2000-12-06,0.67667,0.67667,0.0
2000-12-07,0.64333,0.64333,0.0
2000-12-08,1.85833,1.85833,0.0
2000-12-09,1.63333,1.84669,400.0
2000-12-10,0.67708,0.71682,200.0
2000-12-11,1.28333,1.29381,20.0
2000-12-12,1.41667,1.41667,0.0
2000-12-13,1.79167,1.80646,20.0
2000-12-14,1.03889,1.03889,250.0
2000-12-15,0.87222,0.87605,10.0
2000-12-16,1.41667,1.55288,310.0
2000-12-17,1.45833,1.45833,0.0
2000-12-18,0.84444,0.84444,0.0
2000-12-19,0.48667,0.55623,240.0
2000-12-20,0.70833,0.70833,0.0
2000-12-21,0.57,0.57585,20.0
2000-12-22,1.11667,1.29208,270.0
2000-12-23,0.53889,0.63064,700.0
2000-12-24,0.76111,0.93021,430.0
2000-12-26,0.67917,0.67917,0.0
2000-12-27,0.73333,0.77695,120.0
2000-12-28,0.65417,0.73908,260.0
2000-12-29,0.75,0.98333,560.0
2000-12-30,1.40833,1.5219,170.0
2000-12-31,1.23889,1.3591,320.0
2001-01-01,0.7,0.80593,150.0
2001-01-02,0.52917,0.67479,420.0
2001-01-03,0.88889,0.92311,110.0
2001-01-04,0.81111,0.81111,0.0
2001-01-05,1.03333,1.03333,0.0
2001-01-06,1.12222,1.20093,250.0
2001-01-07,0.46458,0.51048,350.0
2001-01-08,0.65,0.66097,40.0
2001-01-09,1.04167,1.04167,0.0
2001-01-10,0.95833,0.95833,0.0
2001-01-11,0.81111,0.81111,0.0
2001-01-12,0.9,0.9,0.0
2001-01-13,0.81667,1.22008,410.0
2001-01-14,0.69167,0.75706,240.0
2001-01-15,0.7375,0.7375,0.0
2001-01-16,0.5,0.60846,450.0
2001-01-17,0.67,0.67,0.0
2001-01-18,0.51333,0.51333,0.0
2001-01-19,1.075,1.075,0.0
2001-01-20,1.6,1.6,0.0
2001-01-21,0.66,0.68538,110.0
2001-01-22,0.70667,0.70667,0.0
2001-01-23,0.85556,0.85556,0.0
2001-01-24,0.725,0.725,0.0
2001-01-25,0.71667,0.71667,0.0
2001-01-26,0.85,0.85,0.0
2001-01-27,0.56667,0.75176,600.0
2001-01-28,0.76389,0.80526,200.0
2001-01-29,0.85833,0.85833,0.0
2001-01-30,0.50833,0.50833,0.0
2001-01-31,0.72778,0.72778,0.0
2001-02-01,0.64333,0.81308,640.0
2001-02-02,0.71,0.90605,760.0
2001-02-03,0.56667,0.61298,280.0
2001-02-04,0.58333,0.75299,580.0
2001-02-05,0.975,1.03777,160.0
2001-02-06,0.61389,0.81471,810.0
2001-02-07,1.125,1.13246,20.0
2001-02-08,0.75278,0.7613,40.0
2001-02-09,1.25,1.26411,30.0
2001-02-10,1.25,1.25,0.0
2001-02-11,0.64444,0.64646,10.0
2001-02-12,0.75556,0.78056,90.0
2001-02-13,0.79167,0.8033,50.0
2001-02-14,0.9,0.95676,180.0
2001-02-15,0.58333,0.58333,0.0
2001-02-16,0.79,0.98556,590.0
2001-02-17,0.86667,0.86667,0.0
2001-02-18,0.54167,0.62943,360.0
2001-02-19,0.92083,0.98085,210.0
2001-02-20,1.67222,1.69258,40.0
2001-02-21,0.87222,1.16235,600.0
2001-02-22,0.75833,0.75833,0.0
2001-02-23,1.08333,1.08333,0.0
2001-02-24,0.85238,0.98107,730.0
2001-02-25,0.61667,0.87324,550.0
2001-02-26,0.625,0.62834,40.0
2001-02-27,0.6619,0.6619,0.0
2001-02-28,0.90333,0.90333,0.0
2001-03-01,0.83333,0.96371,410.0
2001-03-02,1.05556,1.05556,0.0
2001-03-03,0.68333,0.68333,0.0
2001-03-04,0.59167,0.6157,160.0
2001-03-05,0.91,0.91,0.0
2001-03-06,0.77222,0.77222,0.0
2001-03-07,0.88667,0.92193,150.0
2001-03-08,1.05417,1.05417,0.0
2001-03-09,0.88333,0.88333,0.0
2001-03-10,0.80556,0.80556,0.0
2001-03-11,0.625,0.68334,300.0
2001-03-12,0.76389,0.7738,50.0
2001-03-13,0.99167,0.99167,0.0
2001-03-14,0.82,0.83184,50.0
2001-03-15,1.05417,1.05417,0.0
2001-03-16,0.76,0.76,0.0
2001-03-17,0.50714,0.54032,290.0
2001-03-18,0.61667,0.61667,0.0
2001-03-19,1.32222,1.33915,50.0
2001-03-20,0.64524,0.65305,40.0
2001-03-21,1.03333,1.03333,0.0
2001-03-22,1.05833,1.05833,0.0
2001-03-23,0.97083,0.97083,0.0
2001-03-24,1.025,1.025,0.0
2001-03-25,1.04167,1.50264,740.0
2001-03-26,0.78667,0.79047,21.0
2001-03-27,1.18889,1.2714,170.0
2001-03-28,0.83,1.0602,740.0
2001-03-29,0.71944,0.73174,60.0
2001-03-30,1.23889,1.27775,110.0
2001-03-31,0.75278,0.75278,0.0
2001-04-01,1.225,1.23679,20.0
2001-04-02,1.57222,1.59607,50.0
2001-04-03,1.52778,1.57017,90.0
2001-04-04,1.50556,1.50556,0.0
2001-04-05,1.37778,1.40984,80.0
2001-04-06,1.19583,1.19583,0.0
2001-04-07,0.87667,0.92441,150.0
2001-04-08,1.6,1.6,0.0
2001-04-09,1.33333,1.33333,0.0
2001-04-10,1.34444,1.34444,0.0
2001-04-11,1.3375,1.37921,110.0
2001-04-12,1.55556,1.55556,0.0
2001-04-13,1.15,1.15,0.0
2001-04-14,0.68542,0.7125,130.0
2001-04-15,0.71667,0.89664,410.0
2001-04-16,0.90833,0.93545,100.0
2001-04-17,0.77333,0.90442,510.0
2001-04-18,1.20556,1.28543,170.0
2001-04-19,0.95417,0.95417,0.0
2001-04-20,0.65952,0.65952,0.0
2001-04-21,0.67917,0.73045,200.0
2001-04-22,0.86111,0.87786,40.0
2001-04-23,0.80278,0.81012,30.0
2001-04-24,0.7125,0.8875,420.0
2001-04-25,0.59167,0.59167,0.0
2001-04-26,0.66905,0.66905,0.0
2001-04-27,0.75333,0.75333,0.0
2001-04-28,0.7,0.71607,30.0
2001-04-29,0.5625,0.6255,190.0
2001-04-30,1.74333,1.74333,0.0
2001-05-01,0.9875,0.9875,0.0
2001-05-02,0.99167,0.99167,0.0
2001-05-03,0.76944,0.76944,0.0
2001-05-04,1.01111,1.01111,0.0
2001-05-05,0.81667,0.88974,170.0
2001-05-06,0.75,0.81667,120.0
2001-05-07,0.89,0.9603,250.0
2001-05-08,0.9,0.95415,210.0
2001-05-09,0.73667,0.79303,180.0
2001-05-10,0.725,0.73889,50.0
2001-05-11,0.94333,0.94333,0.0
2001-05-12,0.70417,0.74979,180.0
2001-05-13,1.04167,1.04954,20.0
2001-05-14,0.56042,0.57972,100.0
2001-05-15,0.68333,0.72035,200.0
2001-05-16,0.63095,0.66235,140.0
2001-05-17,1.43333,1.43333,0.0
2001-05-18,1.08333,1.31696,390.0
2001-05-19,0.60417,0.65027,390.0
2001-05-20,0.41389,0.45,360.0
2001-05-21,0.89583,1.16477,770.0
2001-05-22,1.21667,1.25671,110.0
2001-05-23,0.69167,0.78333,330.0
2001-05-24,1.48889,1.5886,200.0
2001-05-25,0.96667,1.12012,550.0
2001-05-26,0.62333,0.774,460.0
2001-05-27,0.54,0.59184,180.0
2001-05-28,0.65833,0.65833,0.0
2001-05-29,0.46833,0.48015,80.0
2001-05-30,0.83,0.8367,30.0
2001-05-31,0.97917,0.97917,0.0
2001-06-01,0.75,0.90655,510.0
2001-06-02,0.725,0.98623,930.0
2001-06-03,0.50625,0.58377,710.0
2001-06-04,0.79333,0.79596,20.0
2001-06-05,0.82333,0.909,330.0
2001-06-06,1.00667,1.04256,140.0
2001-06-07,0.78667,0.78667,0.0
2001-06-08,0.89583,0.89583,0.0
2001-06-09,0.86389,0.86389,0.0
2001-06-10,1.53889,1.55556,40.0
2001-06-11,0.85556,0.85556,0.0
2001-06-12,0.61389,0.65708,250.0
2001-06-13,0.55833,0.58271,170.0
2001-06-14,0.68333,0.68333,0.0
2001-06-15,0.85,0.85,0.0
2001-06-16,1.04167,1.13658,210.0
2001-06-17,0.70556,0.72612,70.0
2001-06-18,0.69667,0.69667,0.0
2001-06-19,0.90667,0.90667,0.0
2001-06-20,1.06111,1.06111,0.0
2001-06-21,0.65,0.65,0.0
2001-06-22,0.9,0.91998,70.0
2001-06-23,0.86667,0.98333,280.0
2001-06-24,0.8125,0.84861,120.0
2001-06-25,0.58611,0.64678,270.0
2001-06-26,0.74333,0.83631,330.0
2001-06-27,1.21111,1.22465,40.0
2001-06-28,0.68056,0.70553,140.0
2001-06-29,0.80556,0.81824,60.0
2001-06-30,0.85417,0.86741,70.0
2001-07-01,0.70833,0.85942,480.0
2001-07-02,0.55833,0.57698,80.0
2001-07-03,0.88333,0.88333,0.0
2001-07-04,0.62857,0.62857,0.0
2001-07-05,0.85667,0.86564,30.0
2001-07-06,0.82,0.82,0.0
2001-07-07,0.53542,0.55288,180.0
2001-07-08,0.84333,0.96522,520.0
2001-07-09,0.84333,0.89927,320.0
2001-07-10,0.8875,0.92011,150.0
2001-07-11,0.75,0.76148,70.0
2001-07-12,0.77667,0.79627,100.0
2001-07-13,0.84,0.84872,50.0
2001-07-14,0.71667,0.7253,50.0
2001-07-15,1.01667,1.01667,0.0
2001-07-16,0.76333,0.77833,60.0
2001-07-17,0.99333,1.00815,70.0
2001-07-18,0.63333,0.63333,0.0
2001-07-19,0.81,0.81,0.0
2001-07-20,1.25,1.26384,30.0
2001-07-21,0.87667,0.87667,0.0
2001-07-22,0.73333,0.73333,0.0
2001-07-23,1.09444,1.09444,0.0
2001-07-24,1.02778,1.02778,0.0
2001-07-25,0.75,0.75,0.0
2001-07-26,0.87333,0.87333,0.0
2001-07-27,0.64444,0.65584,50.0
2001-07-28,0.675,0.675,0.0
2001-07-29,0.69167,0.77936,270.0
2001-07-30,0.60417,0.66092,290.0
2001-07-31,0.49722,0.52075,120.0
2001-08-01,1.37222,1.38148,30.0
2001-08-02,0.6619,0.6619,0.0
2001-08-03,1.14444,1.14444,0.0
2001-08-04,0.70333,0.73412,160.0
2001-08-05,1.27778,1.36618,260.0
2001-08-06,0.89583,0.97704,220.0
2001-08-07,1.01667,1.10691,280.0
2001-08-08,0.77667,0.79465,80.0
2001-08-09,0.84667,1.03458,620.0
2001-08-10,0.74167,1.0964,1290.0
2001-08-11,0.50833,0.60591,510.0
2001-08-12,0.46667,0.5069,290.0
2001-08-13,0.85667,0.92,190.0
2001-08-14,0.75333,0.87318,420.0
2001-08-15,0.95417,0.96098,20.0
2001-08-16,0.79667,0.80418,50.0
2001-08-17,0.83,0.83667,20.0
2001-08-18,0.72333,0.73288,50.0
2001-08-19,0.77,0.87202,410.0
2001-08-20,0.66111,0.66111,0.0
2001-08-21,0.8875,0.89552,40.0
2001-08-22,0.79333,0.85664,290.0
2001-08-23,0.75714,0.75714,50.0
2001-08-24,1.17917,1.17917,0.0
2001-08-25,0.85,0.85833,20.0
2001-08-26,0.76667,0.97888,430.0
2001-08-27,0.57857,0.65101,350.0
2001-08-28,0.93333,1.0681,410.0
2001-08-29,0.60625,0.6452,190.0
2001-08-30,0.45333,0.8142,1180.0
2001-08-31,0.65556,0.66377,50.0
2001-09-01,0.90833,1.02327,260.0
2001-09-02,0.88889,0.97706,320.0
2001-09-03,1.17222,1.253,270.0
2001-09-04,1.25556,1.29811,150.0
2001-09-05,1.25556,1.25556,0.0
2001-09-06,1.18889,1.18889,0.0
2001-09-07,1.32778,1.32778,0.0
2001-09-08,0.95833,0.95833,0.0
2001-09-09,0.87778,1.06447,620.0
2001-09-10,1.19444,1.20493,20.0
2001-09-12,3.21667,3.21667,0.0
2001-09-13,2.98333,2.98333,0.0
2001-09-14,3.30833,3.30833,0.0
2001-09-15,1.64167,1.64167,0.0
2001-09-16,1.44167,1.44167,0.0
2001-09-17,1.40556,1.40556,0.0
2001-09-18,0.95833,1.63369,820.0
2001-09-19,1.09667,1.09667,0.0
2001-09-20,1.63889,1.63889,0.0
2001-09-21,1.31667,1.31667,0.0
2001-09-22,1.58333,1.58333,0.0
2001-09-23,1.36111,1.36111,0.0
2001-09-24,1.09167,1.09167,0.0
2001-09-25,1.1,1.1,0.0
2001-09-26,0.88333,0.89968,40.0
2001-09-27,1.26667,1.26667,0.0
2001-09-28,1.2,1.22648,50.0
2001-09-29,1.06667,1.19388,130.0
2001-09-30,0.85556,0.86078,10.0
2001-10-01,1.03333,1.03333,0.0
2001-10-02,0.9,0.90495,10.0
2001-10-03,0.94167,0.95474,30.0
2001-10-04,0.76667,0.82766,240.0
2001-10-05,0.74333,0.99569,810.0
2001-10-06,0.93333,0.93333,0.0
2001-10-07,1.29167,1.94167,780.0
2001-10-08,1.11667,1.21538,210.0
2001-10-09,0.58333,0.58333,0.0
2001-10-10,1.49167,1.49167,0.0
2001-10-11,1.00417,1.00417,0.0
2001-10-12,1.16333,1.16333,0.0
2001-10-14,1.58333,1.58333,0.0
2001-10-15,1.46667,1.47306,20.0
2001-10-16,1.06,1.06,0.0
2001-10-17,1.15833,1.17373,50.0
2001-10-18,1.56667,1.59481,70.0
2001-10-19,0.93333,1.0881,400.0
2001-10-20,1.35,1.35,0.0
2001-10-21,0.92667,0.99676,240.0
2001-10-22,1.30417,1.31148,20.0
2001-10-23,1.72222,1.73131,20.0
2001-10-24,0.79524,0.85714,260.0
2001-10-25,1.12083,1.12083,0.0
2001-10-26,1.37222,1.37222,0.0
2001-10-27,0.78333,0.78333,0.0
2001-10-28,0.91667,1.06984,360.0
2001-10-29,1.13333,1.13836,20.0
2001-10-30,1.29444,1.29444,0.0
2001-10-31,1.02,1.02,0.0
2001-11-01,1.27222,1.27222,0.0
2001-11-02,0.59375,0.72685,650.0
2001-11-04,1.12778,1.12778,210.0
2001-11-05,1.14583,1.14583,0.0
2001-11-06,1.17917,1.17917,0.0
2001-11-07,0.74,0.74,0.0
2001-11-08,1.12778,1.12778,0.0
2001-11-09,1.2125,1.2125,0.0
2001-11-10,1.825,1.825,0.0
2001-11-11,0.91111,0.9984,180.0
2001-11-12,1.325,1.325,0.0
2001-11-13,1.83889,1.83889,0.0
2001-11-14,1.06333,1.06333,0.0
2001-11-15,0.86111,0.86111,0.0
2001-11-16,1.46667,1.46667,0.0
2001-11-18,0.89167,0.89167,0.0
2001-11-19,1.40556,1.57911,430.0
2001-11-20,1.2375,1.2375,0.0
2001-11-21,0.95333,0.95333,0.0
2001-11-22,0.62667,0.62919,10.0
2001-11-23,0.925,0.95557,80.0
2001-11-24,1.03333,1.14922,120.0
2001-11-25,0.77222,0.81848,120.0
2001-11-26,1.225,1.23056,20.0
2001-11-27,0.95,0.9575,40.0
2001-11-28,1.14167,1.14513,10.0
2001-11-29,0.85278,0.90918,260.0
2001-11-30,1.29444,1.45,280.0
2001-12-02,0.95833,1.27633,580.0
2001-12-03,0.45333,0.91144,1560.0
2001-12-04,1.17778,1.63728,960.0
2001-12-05,1.16667,1.24537,200.0
2001-12-06,0.84722,0.85204,20.0
2001-12-07,0.92,0.93667,50.0
