date,avg_uncorrected_pressure,avg_corrected_pressure
27/04/2000,1.10556,1.127
28/04/2000,0.76389,0.76832
29/04/2000,0.88333,1.0211
30/04/2000,0.89444,0.90827
01/05/2000,0.7625,0.83779
02/05/2000,0.90556,0.94537
03/05/2000,0.83333,0.83333
04/05/2000,0.95,1.0384
05/05/2000,1.01111,1.09255
06/05/2000,1.07222,1.0787
07/05/2000,0.45,0.46926
08/05/2000,0.89583,0.90101
09/05/2000,1.03333,1.03333
10/05/2000,1,1.0308
11/05/2000,0.68611,0.68611
12/05/2000,0.57407,0.58519
13/05/2000,1.03333,1.03333
14/05/2000,0.55833,0.59167
15/05/2000,0.67,0.73988
16/05/2000,0.67667,0.72153
17/05/2000,0.71,0.72888
18/05/2000,1.31667,1.33619
19/05/2000,0.6881,0.72066
20/05/2000,0.72778,0.76401
21/05/2000,1.15,1.23972
22/05/2000,0.96667,1.03519
23/05/2000,1.14444,1.31305
24/05/2000,1.14167,1.207
25/05/2000,0.75833,0.83649
26/05/2000,0.91667,1.05104
27/05/2000,0.78333,0.99606
28/05/2000,0.80833,0.85619
29/05/2000,0.68333,0.75321
30/05/2000,0.86667,0.95057
31/05/2000,0.92778,1.06459
01/06/2000,0.75333,0.78429
02/06/2000,0.37273,0.37273
03/06/2000,0.69333,0.69333
04/06/2000,0.54524,0.54762
05/06/2000,0.68333,0.70494
06/06/2000,0.85833,0.8772
07/06/2000,0.79,0.83005
08/06/2000,0.7,0.72531
09/06/2000,0.87083,0.87083
10/06/2000,0.67667,1.08117
11/06/2000,0.63333,1.1075
12/06/2000,0.53056,0.61944
13/06/2000,0.60278,0.64202
14/06/2000,0.62222,0.63056
15/06/2000,0.7625,0.79257
16/06/2000,0.94167,0.94167
17/06/2000,0.875,0.8875
18/06/2000,0.62917,0.64427
19/06/2000,0.58889,0.59802
20/06/2000,0.56944,0.59983
21/06/2000,0.97083,0.98766
22/06/2000,0.93333,0.93759
23/06/2000,0.85833,0.85833
24/06/2000,0.60476,0.6122
25/06/2000,1.13333,1.13333
26/06/2000,0.51875,0.52917
27/06/2000,0.70667,0.75892
28/06/2000,0.94444,0.94444
29/06/2000,0.925,0.93176
30/06/2000,0.69333,0.69333
01/07/2000,0.98333,0.98333
02/07/2000,1.10833,1.10833
03/07/2000,0.505,0.51792
04/07/2000,0.89,0.89
05/07/2000,0.69167,0.87
06/07/2000,0.69722,0.70359
07/07/2000,0.61,0.61
08/07/2000,0.78,0.85484
09/07/2000,1.05833,1.31487
10/07/2000,0.9125,1.21543
11/07/2000,0.4463,0.59062
12/07/2000,0.75556,0.82395
13/07/2000,0.8375,1.10069
14/07/2000,0.69167,0.7331
15/07/2000,0.63056,0.73911
16/07/2000,0.65833,1.07569
17/07/2000,0.65333,0.74279
18/07/2000,0.5125,0.5837
19/07/2000,0.87222,1.07725
20/07/2000,0.36212,0.46818
21/07/2000,0.7,0.71919
22/07/2000,0.96667,1.07582
23/07/2000,0.63,0.86056
24/07/2000,0.7125,0.89089
25/07/2000,1.36111,1.65929
26/07/2000,1,1.04158
27/07/2000,0.54286,0.55756
28/07/2000,0.69667,0.74538
29/07/2000,0.70333,0.78216
30/07/2000,1.00833,1.1246
31/07/2000,0.75,0.75568
01/08/2000,0.54792,0.54792
02/08/2000,1.31667,1.31667
03/08/2000,1.26667,1.26667
04/08/2000,1.01111,1.02436
05/08/2000,0.42667,0.44725
06/08/2000,0.48333,0.51296
07/08/2000,0.65417,0.70681
08/08/2000,0.57778,0.57778
09/08/2000,0.54667,0.57618
10/08/2000,0.51667,0.53361
11/08/2000,0.75,0.76962
12/08/2000,0.55952,0.55952
13/08/2000,0.52333,0.53321
14/08/2000,0.88889,0.88889
15/08/2000,0.88667,0.88667
16/08/2000,0.7,0.7
17/08/2000,0.81944,0.81944
18/08/2000,0.48333,0.49738
19/08/2000,0.55,0.55
20/08/2000,0.89444,0.89444
21/08/2000,0.55714,0.56905
22/08/2000,0.64667,0.66667
23/08/2000,0.92917,0.92917
24/08/2000,0.76389,0.76389
25/08/2000,0.70833,0.70833
26/08/2000,0.75,0.75
27/08/2000,0.47917,0.48958
28/08/2000,0.51458,0.51773
29/08/2000,0.69,0.70831
30/08/2000,0.79167,0.79167
31/08/2000,0.42083,0.44366
01/09/2000,0.66333,0.67153
02/09/2000,0.86667,0.86667
03/09/2000,0.58571,0.66014
04/09/2000,0.66429,0.68307
05/09/2000,0.70556,0.7956
06/09/2000,0.62222,0.72206
07/09/2000,1,1
08/09/2000,0.56042,0.59853
09/09/2000,0.57778,0.82844
10/09/2000,0.58542,0.62083
11/09/2000,0.86333,0.88833
12/09/2000,0.62143,0.64202
13/09/2000,0.4463,0.48378
14/09/2000,0.45667,0.52667
15/09/2000,0.80333,0.80333
16/09/2000,0.41667,0.47917
17/09/2000,0.71389,0.77844
18/09/2000,0.65714,0.69232
19/09/2000,0.72,0.75
20/09/2000,0.88333,0.88923
21/09/2000,0.84667,0.84667
22/09/2000,0.97917,0.97917
23/09/2000,0.725,0.78318
24/09/2000,0.95333,0.99101
25/09/2000,1.05833,1.12003
26/09/2000,0.65476,0.65476
27/09/2000,0.71111,0.71558
28/09/2000,0.94167,0.99167
29/09/2000,0.69667,0.76046
30/09/2000,0.98333,1.16909
01/10/2000,0.725,0.92908
02/10/2000,0.80833,1.09697
03/10/2000,0.8,0.90616
04/10/2000,0.80667,1.00824
05/10/2000,1.26667,1.26667
06/10/2000,0.66905,0.76012
07/10/2000,0.3625,1.01737
08/10/2000,0.38611,0.575
09/10/2000,0.46111,0.89077
10/10/2000,0.71111,0.98128
11/10/2000,1.18333,1.31481
12/10/2000,0.49333,1.01433
13/10/2000,0.47619,0.77976
14/10/2000,0.38333,0.54222
15/10/2000,0.51667,0.70866
16/10/2000,0.58333,1.09566
17/10/2000,0.57381,0.74172
18/10/2000,0.74667,0.91265
19/10/2000,0.71944,0.81021
20/10/2000,0.65,0.91711
21/10/2000,0.6,1.07069
22/10/2000,0.43542,0.6077
23/10/2000,0.59167,0.82222
24/10/2000,0.49167,0.51415
25/10/2000,0.50833,0.53069
26/10/2000,0.85,0.91667
27/10/2000,0.60208,0.63333
28/10/2000,0.68333,0.86252
29/10/2000,0.39524,0.51905
30/10/2000,1.08889,1.20852
31/10/2000,0.68611,0.71188
01/11/2000,0.79667,0.93402
02/11/2000,0.69,0.93723
03/11/2000,0.79444,0.84941
04/11/2000,0.77778,1.14402
05/11/2000,0.92222,0.97249
06/11/2000,1.49167,1.49167
07/11/2000,0.85,0.85
08/11/2000,1.525,1.87024
09/11/2000,1.22222,1.24319
10/11/2000,1.60833,1.69158
12/11/2000,0.86667,0.93989
13/11/2000,1.76667,1.76667
14/11/2000,0.92083,0.97917
15/11/2000,1.625,1.64866
16/11/2000,0.8125,0.86835
17/11/2000,1.69167,1.70635
18/11/2000,1.89167,1.89167
19/11/2000,0.72,0.72
20/11/2000,2.24167,2.35632
21/11/2000,0.59722,0.60796
22/11/2000,1.76667,1.8062
23/11/2000,0.96667,0.96667
24/11/2000,1.93333,1.93333
26/11/2000,0.925,0.94716
27/11/2000,1.23333,1.23333
28/11/2000,0.8875,0.90211
29/11/2000,0.96667,0.96667
30/11/2000,1.18333,1.19773
01/12/2000,1.70833,1.70833
02/12/2000,1.61667,1.80143
03/12/2000,1.575,1.575
04/12/2000,0.8875,0.8875
05/12/2000,1.5,1.5
06/12/2000,0.67667,0.67667
07/12/2000,0.64333,0.64333
08/12/2000,1.85833,1.85833
09/12/2000,1.63333,1.84669
10/12/2000,0.67708,0.71682
11/12/2000,1.28333,1.29381
12/12/2000,1.41667,1.41667
13/12/2000,1.79167,1.80646
14/12/2000,1.03889,1.03889
15/12/2000,0.87222,0.87605
16/12/2000,1.41667,1.55288
17/12/2000,1.45833,1.45833
18/12/2000,0.84444,0.84444
19/12/2000,0.48667,0.55623
20/12/2000,0.70833,0.70833
21/12/2000,0.57,0.57585
22/12/2000,1.11667,1.29208
23/12/2000,0.53889,0.63064
24/12/2000,0.76111,0.93021
26/12/2000,0.67917,0.67917
27/12/2000,0.73333,0.77695
28/12/2000,0.65417,0.73908
29/12/2000,0.75,0.98333
30/12/2000,1.40833,1.5219
31/12/2000,1.23889,1.3591
01/01/2001,0.7,0.80593
02/01/2001,0.52917,0.67479
03/01/2001,0.88889,0.92311
04/01/2001,0.81111,0.81111
05/01/2001,1.03333,1.03333
06/01/2001,1.12222,1.20093
07/01/2001,0.46458,0.51048
08/01/2001,0.65,0.66097
09/01/2001,1.04167,1.04167
10/01/2001,0.95833,0.95833
11/01/2001,0.81111,0.81111
12/01/2001,0.9,0.9
13/01/2001,0.81667,1.22008
14/01/2001,0.69167,0.75706
15/01/2001,0.7375,0.7375
16/01/2001,0.5,0.60846
17/01/2001,0.67,0.67
18/01/2001,0.51333,0.51333
19/01/2001,1.075,1.075
20/01/2001,1.6,1.6
21/01/2001,0.66,0.68538
22/01/2001,0.70667,0.70667
23/01/2001,0.85556,0.85556
24/01/2001,0.725,0.725
25/01/2001,0.71667,0.71667
26/01/2001,0.85,0.85
27/01/2001,0.56667,0.75176
28/01/2001,0.76389,0.80526
29/01/2001,0.85833,0.85833
30/01/2001,0.50833,0.50833
31/01/2001,0.72778,0.72778
01/02/2001,0.64333,0.81308
02/02/2001,0.71,0.90605
03/02/2001,0.56667,0.61298
04/02/2001,0.58333,0.75299
05/02/2001,0.975,1.03777
06/02/2001,0.61389,0.81471
07/02/2001,1.125,1.13246
08/02/2001,0.75278,0.7613
09/02/2001,1.25,1.26411
10/02/2001,1.25,1.25
11/02/2001,0.64444,0.64646
12/02/2001,0.75556,0.78056
13/02/2001,0.79167,0.8033
14/02/2001,0.9,0.95676
15/02/2001,0.58333,0.58333
16/02/2001,0.79,0.98556
17/02/2001,0.86667,0.86667
18/02/2001,0.54167,0.62943
19/02/2001,0.92083,0.98085
20/02/2001,1.67222,1.69258
21/02/2001,0.87222,1.16235
22/02/2001,0.75833,0.75833
23/02/2001,1.08333,1.08333
24/02/2001,0.85238,0.98107
25/02/2001,0.61667,0.87324
26/02/2001,0.625,0.62834
27/02/2001,0.6619,0.6619
28/02/2001,0.90333,0.90333
01/03/2001,0.83333,0.96371
02/03/2001,1.05556,1.05556
03/03/2001,0.68333,0.68333
04/03/2001,0.59167,0.6157
05/03/2001,0.91,0.91
06/03/2001,0.77222,0.77222
07/03/2001,0.88667,0.92193
08/03/2001,1.05417,1.05417
09/03/2001,0.88333,0.88333
10/03/2001,0.80556,0.80556
11/03/2001,0.625,0.68334
12/03/2001,0.76389,0.7738
13/03/2001,0.99167,0.99167
14/03/2001,0.82,0.83184
15/03/2001,1.05417,1.05417
16/03/2001,0.76,0.76
17/03/2001,0.50714,0.54032
18/03/2001,0.61667,0.61667
19/03/2001,1.32222,1.33915
20/03/2001,0.64524,0.65305
21/03/2001,1.03333,1.03333
22/03/2001,1.05833,1.05833
23/03/2001,0.97083,0.97083
24/03/2001,1.025,1.025
25/03/2001,1.04167,1.50264
26/03/2001,0.78667,0.79047
27/03/2001,1.18889,1.2714
28/03/2001,0.83,1.0602
29/03/2001,0.71944,0.73174
30/03/2001,1.23889,1.27775
31/03/2001,0.75278,0.75278
01/04/2001,1.225,1.23679
02/04/2001,1.57222,1.59607
03/04/2001,1.52778,1.57017
04/04/2001,1.50556,1.50556
05/04/2001,1.37778,1.40984
06/04/2001,1.19583,1.19583
07/04/2001,0.87667,0.92441
08/04/2001,1.6,1.6
09/04/2001,1.33333,1.33333
10/04/2001,1.34444,1.34444
11/04/2001,1.3375,1.37921
12/04/2001,1.55556,1.55556
13/04/2001,1.15,1.15
14/04/2001,0.68542,0.7125
15/04/2001,0.71667,0.89664
16/04/2001,0.90833,0.93545
17/04/2001,0.77333,0.90442
18/04/2001,1.20556,1.28543
19/04/2001,0.95417,0.95417
20/04/2001,0.65952,0.65952
21/04/2001,0.67917,0.73045
22/04/2001,0.86111,0.87786
23/04/2001,0.80278,0.81012
24/04/2001,0.7125,0.8875
25/04/2001,0.59167,0.59167
26/04/2001,0.66905,0.66905
27/04/2001,0.75333,0.75333
28/04/2001,0.7,0.71607
29/04/2001,0.5625,0.6255
30/04/2001,1.74333,1.74333
01/05/2001,0.9875,0.9875
02/05/2001,0.99167,0.99167
03/05/2001,0.76944,0.76944
04/05/2001,1.01111,1.01111
05/05/2001,0.81667,0.88974
06/05/2001,0.75,0.81667
07/05/2001,0.89,0.9603
08/05/2001,0.9,0.95415
09/05/2001,0.73667,0.79303
10/05/2001,0.725,0.73889
11/05/2001,0.94333,0.94333
12/05/2001,0.70417,0.74979
13/05/2001,1.04167,1.04954
14/05/2001,0.56042,0.57972
15/05/2001,0.68333,0.72035
16/05/2001,0.63095,0.66235
17/05/2001,1.43333,1.43333
18/05/2001,1.08333,1.31696
19/05/2001,0.60417,0.65027
20/05/2001,0.41389,0.45
21/05/2001,0.89583,1.16477
22/05/2001,1.21667,1.25671
23/05/2001,0.69167,0.78333
24/05/2001,1.48889,1.5886
25/05/2001,0.96667,1.12012
26/05/2001,0.62333,0.774
27/05/2001,0.54,0.59184
28/05/2001,0.65833,0.65833
29/05/2001,0.46833,0.48015
30/05/2001,0.83,0.8367
31/05/2001,0.97917,0.97917
01/06/2001,0.75,0.90655
02/06/2001,0.725,0.98623
03/06/2001,0.50625,0.58377
04/06/2001,0.79333,0.79596
05/06/2001,0.82333,0.909
06/06/2001,1.00667,1.04256
07/06/2001,0.78667,0.78667
08/06/2001,0.89583,0.89583
09/06/2001,0.86389,0.86389
10/06/2001,1.53889,1.55556
11/06/2001,0.85556,0.85556
12/06/2001,0.61389,0.65708
13/06/2001,0.55833,0.58271
14/06/2001,0.68333,0.68333
15/06/2001,0.85,0.85
16/06/2001,1.04167,1.13658
17/06/2001,0.70556,0.72612
18/06/2001,0.69667,0.69667
19/06/2001,0.90667,0.90667
20/06/2001,1.06111,1.06111
21/06/2001,0.65,0.65
22/06/2001,0.9,0.91998
23/06/2001,0.86667,0.98333
24/06/2001,0.8125,0.84861
25/06/2001,0.58611,0.64678
26/06/2001,0.74333,0.83631
27/06/2001,1.21111,1.22465
28/06/2001,0.68056,0.70553
29/06/2001,0.80556,0.81824
30/06/2001,0.85417,0.86741
01/07/2001,0.70833,0.85942
02/07/2001,0.55833,0.57698
03/07/2001,0.88333,0.88333
04/07/2001,0.62857,0.62857
05/07/2001,0.85667,0.86564
06/07/2001,0.82,0.82
07/07/2001,0.53542,0.55288
08/07/2001,0.84333,0.96522
09/07/2001,0.84333,0.89927
10/07/2001,0.8875,0.92011
11/07/2001,0.75,0.76148
12/07/2001,0.77667,0.79627
13/07/2001,0.84,0.84872
14/07/2001,0.71667,0.7253
15/07/2001,1.01667,1.01667
16/07/2001,0.76333,0.77833
17/07/2001,0.99333,1.00815
18/07/2001,0.63333,0.63333
19/07/2001,0.81,0.81
20/07/2001,1.25,1.26384
21/07/2001,0.87667,0.87667
22/07/2001,0.73333,0.73333
23/07/2001,1.09444,1.09444
24/07/2001,1.02778,1.02778
25/07/2001,0.75,0.75
26/07/2001,0.87333,0.87333
27/07/2001,0.64444,0.65584
28/07/2001,0.675,0.675
29/07/2001,0.69167,0.77936
30/07/2001,0.60417,0.66092
31/07/2001,0.49722,0.52075
01/08/2001,1.37222,1.38148
02/08/2001,0.6619,0.6619
03/08/2001,1.14444,1.14444
04/08/2001,0.70333,0.73412
05/08/2001,1.27778,1.36618
06/08/2001,0.89583,0.97704
07/08/2001,1.01667,1.10691
08/08/2001,0.77667,0.79465
09/08/2001,0.84667,1.03458
10/08/2001,0.74167,1.0964
11/08/2001,0.50833,0.60591
12/08/2001,0.46667,0.5069
13/08/2001,0.85667,0.92
14/08/2001,0.75333,0.87318
15/08/2001,0.95417,0.96098
16/08/2001,0.79667,0.80418
17/08/2001,0.83,0.83667
18/08/2001,0.72333,0.73288
19/08/2001,0.77,0.87202
20/08/2001,0.66111,0.66111
21/08/2001,0.8875,0.89552
22/08/2001,0.79333,0.85664
23/08/2001,0.75714,0.75714
24/08/2001,1.17917,1.17917
25/08/2001,0.85,0.85833
26/08/2001,0.76667,0.97888
27/08/2001,0.57857,0.65101
28/08/2001,0.93333,1.0681
29/08/2001,0.60625,0.6452
30/08/2001,0.45333,0.8142
31/08/2001,0.65556,0.66377
01/09/2001,0.90833,1.02327
02/09/2001,0.88889,0.97706
03/09/2001,1.17222,1.253
04/09/2001,1.25556,1.29811
05/09/2001,1.25556,1.25556
06/09/2001,1.18889,1.18889
07/09/2001,1.32778,1.32778
08/09/2001,0.95833,0.95833
09/09/2001,0.87778,1.06447
10/09/2001,1.19444,1.20493
12/09/2001,3.21667,3.21667
13/09/2001,2.98333,2.98333
14/09/2001,3.30833,3.30833
15/09/2001,1.64167,1.64167
16/09/2001,1.44167,1.44167
17/09/2001,1.40556,1.40556
18/09/2001,0.95833,1.63369
19/09/2001,1.09667,1.09667
20/09/2001,1.63889,1.63889
21/09/2001,1.31667,1.31667
22/09/2001,1.58333,1.58333
23/09/2001,1.36111,1.36111
24/09/2001,1.09167,1.09167
25/09/2001,1.1,1.1
26/09/2001,0.88333,0.89968
27/09/2001,1.26667,1.26667
28/09/2001,1.2,1.22648
29/09/2001,1.06667,1.19388
30/09/2001,0.85556,0.86078
01/10/2001,1.03333,1.03333
02/10/2001,0.9,0.90495
03/10/2001,0.94167,0.95474
04/10/2001,0.76667,0.82766
05/10/2001,0.74333,0.99569
06/10/2001,0.93333,0.93333
07/10/2001,1.29167,1.94167
08/10/2001,1.11667,1.21538
09/10/2001,0.58333,0.58333
10/10/2001,1.49167,1.49167
11/10/2001,1.00417,1.00417
12/10/2001,1.16333,1.16333
14/10/2001,1.58333,1.58333
15/10/2001,1.46667,1.47306
16/10/2001,1.06,1.06
17/10/2001,1.15833,1.17373
18/10/2001,1.56667,1.59481
19/10/2001,0.93333,1.0881
20/10/2001,1.35,1.35
21/10/2001,0.92667,0.99676
22/10/2001,1.30417,1.31148
23/10/2001,1.72222,1.73131
24/10/2001,0.79524,0.85714
25/10/2001,1.12083,1.12083
26/10/2001,1.37222,1.37222
27/10/2001,0.78333,0.78333
28/10/2001,0.91667,1.06984
29/10/2001,1.13333,1.13836
30/10/2001,1.29444,1.29444
31/10/2001,1.02,1.02
01/11/2001,1.27222,1.27222
02/11/2001,0.59375,0.72685
04/11/2001,1.12778,1.12778
05/11/2001,1.14583,1.14583
06/11/2001,1.17917,1.17917
07/11/2001,0.74,0.74
08/11/2001,1.12778,1.12778
09/11/2001,1.2125,1.2125
10/11/2001,1.825,1.825
11/11/2001,0.91111,0.9984
12/11/2001,1.325,1.325
13/11/2001,1.83889,1.83889
14/11/2001,1.06333,1.06333
15/11/2001,0.86111,0.86111
16/11/2001,1.46667,1.46667
18/11/2001,0.89167,0.89167
19/11/2001,1.40556,1.57911
20/11/2001,1.2375,1.2375
21/11/2001,0.95333,0.95333
22/11/2001,0.62667,0.62919
23/11/2001,0.925,0.95557
24/11/2001,1.03333,1.14922
25/11/2001,0.77222,0.81848
26/11/2001,1.225,1.23056
27/11/2001,0.95,0.9575
28/11/2001,1.14167,1.14513
29/11/2001,0.85278,0.90918
30/11/2001,1.29444,1.45
02/12/2001,0.95833,1.27633
03/12/2001,0.45333,0.91144
04/12/2001,1.17778,1.63728
05/12/2001,1.16667,1.24537
06/12/2001,0.84722,0.85204
07/12/2001,0.92,0.93667
08/12/2001,0.43333,0.61136
09/12/2001,0.72083,0.81131
10/12/2001,0.77619,0.78095
11/12/2001,1.05,1.05
12/12/2001,0.57917,0.65749
13/12/2001,0.80833,0.85156
14/12/2001,0.975,1.15218
15/12/2001,1.16667,1.32246
16/12/2001,1.21667,1.36707
17/12/2001,0.96333,0.97818
18/12/2001,1.1,1.1
19/12/2001,0.88,0.97
20/12/2001,0.64722,0.65215
21/12/2001,1.30556,1.31501
22/12/2001,0.78333,0.83696
23/12/2001,1.275,1.34005
24/12/2001,1.25417,1.29723
26/12/2001,0.91,0.95915
27/12/2001,1.18889,1.22537
28/12/2001,0.86111,0.90278
29/12/2001,0.81111,0.8413
30/12/2001,0.7,0.74327
31/12/2001,1.35,1.35
01/01/2002,0.59167,0.68829
02/01/2002,0.62917,0.62917
03/01/2002,0.65,0.65
04/01/2002,0.90556,0.93775
05/01/2002,0.7125,0.7125
06/01/2002,0.55833,0.61976
07/01/2002,1.08333,1.11511
08/01/2002,1.025,1.025
09/01/2002,0.81667,0.84324
10/01/2002,1.46667,1.46667
11/01/2002,0.76111,0.83333
12/01/2002,0.47222,0.47222
13/01/2002,1.64583,1.64583
14/01/2002,0.48667,0.51667
15/01/2002,0.58333,0.58333
16/01/2002,0.49667,0.53394
17/01/2002,0.88333,0.91108
18/01/2002,1.06667,1.18478
19/01/2002,0.55556,0.56393
20/01/2002,0.75556,0.75556
21/01/2002,1.05833,1.13883
22/01/2002,0.64667,0.67174
23/01/2002,0.98333,0.99838
24/01/2002,1.11667,1.11667
25/01/2002,0.50833,0.55075
26/01/2002,0.91667,0.9497
27/01/2002,0.60417,0.67453
28/01/2002,1.00833,1.00833
29/01/2002,0.75417,0.75417
30/01/2002,0.99167,1.11149
31/01/2002,1.05833,1.08881
01/02/2002,0.89167,0.89167
02/02/2002,0.87222,0.93056
03/02/2002,0.73889,0.78593
04/02/2002,1.65,1.72364
05/02/2002,0.94167,0.97024
06/02/2002,0.89167,0.89167
07/02/2002,0.73333,0.81604
08/02/2002,0.73333,0.73333
09/02/2002,1.30833,1.30833
10/02/2002,0.57778,0.67074
11/02/2002,0.91667,0.95179
12/02/2002,0.6,0.6
13/02/2002,0.55667,0.5681
14/02/2002,0.81667,0.81667
15/02/2002,0.59722,0.59722
16/02/2002,0.875,1.00961
17/02/2002,0.41875,0.4419
18/02/2002,0.85833,0.88382
19/02/2002,0.81111,0.86862
20/02/2002,0.73889,0.7956
21/02/2002,0.65833,0.69472
22/02/2002,0.59,0.59
23/02/2002,1.43333,1.43333
24/02/2002,0.75417,0.91025
25/02/2002,0.61667,0.69238
26/02/2002,0.69167,0.72013
27/02/2002,0.95,1.07222
28/02/2002,0.74167,0.90692
01/03/2002,0.72222,0.7925
02/03/2002,0.70833,0.79905
03/03/2002,0.74444,0.85455
04/03/2002,0.98333,1.0625
05/03/2002,0.86667,1.06398
06/03/2002,1.01667,1.16044
07/03/2002,0.86667,1.00942
08/03/2002,1.09167,1.27331
09/03/2002,0.67917,0.78225
10/03/2002,1.25833,1.38952
11/03/2002,0.47083,0.4875
12/03/2002,0.78333,0.9661
13/03/2002,0.8,1.01127
14/03/2002,0.67222,0.89049
15/03/2002,0.78889,0.92634
16/03/2002,0.48333,0.60662
17/03/2002,0.65833,0.76991
18/03/2002,0.475,0.53721
19/03/2002,0.81667,0.82718
20/03/2002,0.81667,0.98259
21/03/2002,0.56667,0.70768
22/03/2002,0.90833,0.9945
23/03/2002,0.75,0.91304
24/03/2002,1.15833,1.46365
25/03/2002,0.65,0.94839
26/03/2002,0.57778,0.93716
27/03/2002,0.61111,0.87521
28/03/2002,0.68333,1.15458
29/03/2002,0.32083,0.8359
30/03/2002,0.55556,0.94396
31/03/2002,0.56667,1.81228
01/04/2002,0.63333,1.65401
02/04/2002,0.61111,1.21739
03/04/2002,0.62917,0.98798
04/04/2002,0.48333,1.20397
05/04/2002,0.52222,1.0822
06/04/2002,1.06667,1.83877
07/04/2002,0.70833,1.68712
08/04/2002,0.73333,1.01129
09/04/2002,0.5625,0.70833
10/04/2002,0.75,1.43328
11/04/2002,0.725,1.23455
12/04/2002,0.53889,1.10293
13/04/2002,0.5625,0.9128
14/04/2002,0.6,1.14
15/04/2002,0.69167,1.19279
16/04/2002,0.825,1.16361
17/04/2002,0.62333,0.73035
18/04/2002,0.78333,0.86764
19/04/2002,0.58333,0.65097
20/04/2002,1.01667,1.68824
21/04/2002,0.87222,1.1852
22/04/2002,0.74167,1.05148
23/04/2002,0.63333,0.72229
24/04/2002,0.975,1.08445
25/04/2002,0.76667,1.09595
26/04/2002,0.54583,0.61245
27/04/2002,1.02778,1.10004
28/04/2002,0.95,1.30625
29/04/2002,0.41667,0.54803
30/04/2002,0.8,0.98956
01/05/2002,0.81667,1.21541
02/05/2002,0.84167,0.99491
03/05/2002,0.84167,0.90746
04/05/2002,1.4,1.4
05/05/2002,0.91667,1.71201
06/05/2002,0.52083,0.68101
07/05/2002,0.59167,1.12896
08/05/2002,0.83333,1.00323
09/05/2002,0.775,0.97048
10/05/2002,0.76111,0.94346
11/05/2002,0.84167,1.20308
12/05/2002,1.125,1.42823
13/05/2002,0.825,0.94648
14/05/2002,0.90833,0.90833
15/05/2002,0.65556,0.65556
16/05/2002,1.33333,1.33333
17/05/2002,0.76667,0.76667
18/05/2002,1.01111,1.01111
19/05/2002,0.84583,0.94793
20/05/2002,0.88333,0.92239
21/05/2002,1,1.0048
