date,avg_uncorrected_pressure,total_daily_conflict_duration,conflict_dummy,avg_corrected_pressure
2000-04-27,1.10556,70.0,1,1.127
2000-04-28,0.76389,20.0,1,0.76832
2000-04-29,0.88333,170.0,1,1.0211
2000-04-30,0.89444,30.0,1,0.90827
2000-05-01,0.7625,320.0,1,0.83779
2000-05-02,0.90556,160.0,1,0.94537
2000-05-03,0.83333,0.0,0,0.83333
2000-05-04,0.95,390.0,1,1.0384
2000-05-05,1.01111,270.0,1,1.09255
2000-05-06,1.07222,20.0,1,1.0787
2000-05-07,0.45,60.0,1,0.46926
2000-05-08,0.89583,30.0,1,0.90101
2000-05-09,1.03333,0.0,0,1.03333
2000-05-10,1.0,100.0,1,1.0308
2000-05-11,0.68611,0.0,0,0.68611
2000-05-12,0.57407,60.0,1,0.58519
2000-05-13,1.03333,0.0,0,1.03333
2000-05-14,0.55833,120.0,1,0.59167
2000-05-15,0.67,360.0,1,0.73988
2000-05-16,0.67667,340.0,1,0.72153
2000-05-17,0.71,130.0,1,0.72888
2000-05-18,1.31667,80.0,1,1.33619
2000-05-19,0.6881,180.0,1,0.72066
2000-05-20,0.72778,140.0,1,0.76401
2000-05-21,1.15,160.0,1,1.23972
2000-05-22,0.96667,250.0,1,1.03519
2000-05-23,1.14444,440.0,1,1.31305
2000-05-24,1.14167,170.0,1,1.207
2000-05-25,0.75833,320.0,1,0.83649
2000-05-26,0.91667,430.0,1,1.05104
2000-05-27,0.78333,480.0,1,0.99606
2000-05-28,0.80833,200.0,1,0.85619
2000-05-29,0.68333,190.0,1,0.75321
2000-05-30,0.86667,310.0,1,0.95057
2000-05-31,0.92778,500.0,1,1.06459
2000-06-01,0.75333,130.0,1,0.78429
2000-06-02,0.37273,0.0,0,0.37273
2000-06-03,0.69333,0.0,0,0.69333
2000-06-04,0.54524,10.0,1,0.54762
2000-06-05,0.68333,100.0,1,0.70494
2000-06-06,0.85833,100.0,1,0.8772
2000-06-07,0.79,220.0,1,0.83005
2000-06-08,0.7,100.0,1,0.72531
2000-06-09,0.87083,0.0,0,0.87083
2000-06-10,0.67667,1240.0,1,1.08117
2000-06-11,0.63333,940.0,1,1.1075
2000-06-12,0.53056,320.0,1,0.61944
2000-06-13,0.60278,270.0,1,0.64202
2000-06-14,0.62222,30.0,1,0.63056
2000-06-15,0.7625,160.0,1,0.79257
2000-06-16,0.94167,0.0,0,0.94167
2000-06-17,0.875,30.0,1,0.8875
2000-06-18,0.62917,70.0,1,0.64427
2000-06-19,0.58889,60.0,1,0.59802
2000-06-20,0.56944,190.0,1,0.59983
2000-06-21,0.97083,50.0,1,0.98766
2000-06-22,0.93333,20.0,1,0.93759
2000-06-23,0.85833,0.0,0,0.85833
2000-06-24,0.60476,50.0,1,0.6122
2000-06-25,1.13333,0.0,0,1.13333
2000-06-26,0.51875,50.0,1,0.52917
2000-06-27,0.70667,200.0,1,0.75892
2000-06-28,0.94444,0.0,0,0.94444
2000-06-29,0.925,30.0,1,0.93176
2000-06-30,0.69333,0.0,0,0.69333
2000-07-01,0.98333,0.0,0,0.98333
2000-07-02,1.10833,0.0,0,1.10833
2000-07-03,0.505,110.0,1,0.51792
2000-07-04,0.89,0.0,0,0.89
2000-07-05,0.69167,750.0,1,0.87
2000-07-06,0.69722,30.0,1,0.70359
2000-07-07,0.61,0.0,0,0.61
2000-07-08,0.78,240.0,1,0.85484
2000-07-09,1.05833,480.0,1,1.31487
2000-07-10,0.9125,870.0,1,1.21543
2000-07-11,0.4463,800.0,1,0.59062
2000-07-12,0.75556,210.0,1,0.82395
2000-07-13,0.8375,760.0,1,1.10069
2000-07-14,0.69167,160.0,1,0.7331
2000-07-15,0.63056,620.0,1,0.73911
2000-07-16,0.65833,1360.0,1,1.07569
2000-07-17,0.65333,410.0,1,0.74279
2000-07-18,0.5125,460.0,1,0.5837
2000-07-19,0.87222,660.0,1,1.07725
2000-07-20,0.36212,740.0,1,0.46818
2000-07-21,0.7,150.0,1,0.71919
2000-07-22,0.96667,340.0,1,1.07582
2000-07-23,0.63,940.0,1,0.86056
2000-07-24,0.7125,790.0,1,0.89089
2000-07-25,1.36111,590.0,1,1.65929
2000-07-26,1.0,150.0,1,1.04158
2000-07-27,0.54286,105.0,1,0.55756
2000-07-28,0.69667,190.0,1,0.74538
2000-07-29,0.70333,340.0,1,0.78216
2000-07-30,1.00833,340.0,1,1.1246
2000-07-31,0.75,20.0,1,0.75568
2000-08-01,0.54792,0.0,0,0.54792
2000-08-02,1.31667,0.0,0,1.31667
2000-08-03,1.26667,0.0,0,1.26667
2000-08-04,1.01111,50.0,1,1.02436
2000-08-05,0.42667,270.0,1,0.44725
2000-08-06,0.48333,160.0,1,0.51296
2000-08-07,0.65417,850.0,1,0.70681
2000-08-08,0.57778,0.0,0,0.57778
2000-08-09,0.54667,110.0,1,0.57618
2000-08-10,0.51667,180.0,1,0.53361
2000-08-11,0.75,140.0,1,0.76962
2000-08-12,0.55952,0.0,0,0.55952
2000-08-13,0.52333,40.0,1,0.53321
2000-08-14,0.88889,0.0,0,0.88889
2000-08-15,0.88667,0.0,0,0.88667
2000-08-16,0.7,0.0,0,0.7
2000-08-17,0.81944,0.0,0,0.81944
2000-08-18,0.48333,80.0,1,0.49738
2000-08-19,0.55,0.0,0,0.55
2000-08-20,0.89444,0.0,0,0.89444
2000-08-21,0.55714,50.0,1,0.56905
2000-08-22,0.64667,60.0,1,0.66667
2000-08-23,0.92917,0.0,0,0.92917
2000-08-24,0.76389,0.0,0,0.76389
2000-08-25,0.70833,0.0,0,0.70833
2000-08-26,0.75,0.0,0,0.75
2000-08-27,0.47917,50.0,1,0.48958
2000-08-28,0.51458,20.0,1,0.51773
2000-08-29,0.69,80.0,1,0.70831
2000-08-30,0.79167,0.0,0,0.79167
2000-08-31,0.42083,180.0,1,0.44366
2000-09-01,0.66333,50.0,1,0.67153
2000-09-02,0.86667,0.0,0,0.86667
2000-09-03,0.58571,400.0,1,0.66014
2000-09-04,0.66429,140.0,1,0.68307
2000-09-05,0.70556,490.0,1,0.7956
2000-09-06,0.62222,530.0,1,0.72206
2000-09-07,1.0,0.0,0,1.0
2000-09-08,0.56042,230.0,1,0.59853
2000-09-09,0.57778,610.0,1,0.82844
2000-09-10,0.58542,170.0,1,0.62083
2000-09-11,0.86333,150.0,1,0.88833
2000-09-12,0.62143,160.0,1,0.64202
2000-09-13,0.4463,240.0,1,0.48378
2000-09-14,0.45667,420.0,1,0.52667
2000-09-15,0.80333,0.0,0,0.80333
2000-09-16,0.41667,300.0,1,0.47917
2000-09-17,0.71389,250.0,1,0.77844
2000-09-18,0.65714,170.0,1,0.69232
2000-09-19,0.72,110.0,1,0.75
2000-09-20,0.88333,30.0,1,0.88923
2000-09-21,0.84667,0.0,0,0.84667
2000-09-22,0.97917,0.0,0,0.97917
2000-09-23,0.725,160.0,1,0.78318
2000-09-24,0.95333,130.0,1,0.99101
2000-09-25,1.05833,200.0,1,1.12003
2000-09-26,0.65476,0.0,0,0.65476
2000-09-27,0.71111,20.0,1,0.71558
2000-09-28,0.94167,170.0,1,0.99167
2000-09-29,0.69667,320.0,1,0.76046
2000-09-30,0.98333,410.0,1,1.16909
2000-10-01,0.725,1020.0,1,0.92908
2000-10-02,0.80833,1020.0,1,1.09697
2000-10-03,0.8,260.0,1,0.90616
2000-10-04,0.80667,640.0,1,1.00824
2000-10-05,1.26667,180.0,1,1.26667
2000-10-06,0.66905,410.0,1,0.76012
2000-10-07,0.3625,1790.0,1,1.01737
2000-10-08,0.38611,1780.0,1,0.575
2000-10-09,0.46111,1610.0,1,0.89077
2000-10-10,0.71111,610.0,1,0.98128
2000-10-11,1.18333,110.0,1,1.31481
2000-10-12,0.49333,1640.0,1,1.01433
2000-10-13,0.47619,1300.0,1,0.77976
2000-10-14,0.38333,960.0,1,0.54222
2000-10-15,0.51667,1320.0,1,0.70866
2000-10-16,0.58333,1560.0,1,1.09566
2000-10-17,0.57381,780.0,1,0.74172
2000-10-18,0.74667,560.0,1,0.91265
2000-10-19,0.71944,340.0,1,0.81021
2000-10-20,0.65,900.0,1,0.91711
2000-10-21,0.6,1040.0,1,1.07069
2000-10-22,0.43542,970.0,1,0.6077
2000-10-23,0.59167,960.0,1,0.82222
2000-10-24,0.49167,160.0,1,0.51415
2000-10-25,0.50833,140.0,1,0.53069
2000-10-26,0.85,160.0,1,0.91667
2000-10-27,0.60208,150.0,1,0.63333
2000-10-28,0.68333,490.0,1,0.86252
2000-10-29,0.39524,650.0,1,0.51905
2000-10-30,1.08889,370.0,1,1.20852
2000-10-31,0.68611,150.0,1,0.71188
2000-11-01,0.79667,550.0,1,0.93402
2000-11-02,0.69,910.0,1,0.93723
2000-11-03,0.79444,200.0,1,0.84941
2000-11-04,0.77778,680.0,1,1.14402
2000-11-05,0.92222,200.0,1,0.97249
2000-11-06,1.49167,0.0,0,1.49167
2000-11-07,0.85,0.0,0,0.85
2000-11-08,1.525,550.0,1,1.87024
2000-11-09,1.22222,40.0,1,1.24319
2000-11-10,1.60833,110.0,1,1.69158
2000-11-12,0.86667,180.0,1,0.93989
2000-11-13,1.76667,0.0,0,1.76667
2000-11-14,0.92083,140.0,1,0.97917
2000-11-15,1.625,30.0,1,1.64866
2000-11-16,0.8125,150.0,1,0.86835
2000-11-17,1.69167,20.0,1,1.70635
2000-11-18,1.89167,0.0,0,1.89167
2000-11-19,0.72,0.0,0,0.72
2000-11-20,2.24167,140.0,1,2.35632
2000-11-21,0.59722,40.0,1,0.60796
2000-11-22,1.76667,50.0,1,1.8062
2000-11-23,0.96667,0.0,0,0.96667
2000-11-24,1.93333,0.0,0,1.93333
2000-11-26,0.925,30.0,1,0.94716
2000-11-27,1.23333,0.0,0,1.23333
2000-11-28,0.8875,40.0,1,0.90211
2000-11-29,0.96667,0.0,0,0.96667
2000-11-30,1.18333,30.0,1,1.19773
2000-12-01,1.70833,0.0,0,1.70833
2000-12-02,1.61667,120.0,1,1.80143
2000-12-03,1.575,0.0,0,1.575
2000-12-04,0.8875,0.0,0,0.8875
2000-12-05,1.5,0.0,0,1.5
2000-12-06,0.67667,0.0,0,0.67667
2000-12-07,0.64333,0.0,0,0.64333
2000-12-08,1.85833,0.0,0,1.85833
2000-12-09,1.63333,400.0,1,1.84669
2000-12-10,0.67708,200.0,1,0.71682
2000-12-11,1.28333,20.0,1,1.29381
2000-12-12,1.41667,0.0,0,1.41667
2000-12-13,1.79167,20.0,1,1.80646
2000-12-14,1.03889,250.0,1,1.03889
2000-12-15,0.87222,10.0,1,0.87605
2000-12-16,1.41667,310.0,1,1.55288
2000-12-17,1.45833,0.0,0,1.45833
2000-12-18,0.84444,0.0,0,0.84444
2000-12-19,0.48667,240.0,1,0.55623
2000-12-20,0.70833,0.0,0,0.70833
2000-12-21,0.57,20.0,1,0.57585
2000-12-22,1.11667,270.0,1,1.29208
2000-12-23,0.53889,700.0,1,0.63064
2000-12-24,0.76111,430.0,1,0.93021
2000-12-26,0.67917,0.0,0,0.67917
2000-12-27,0.73333,120.0,1,0.77695
2000-12-28,0.65417,260.0,1,0.73908
2000-12-29,0.75,560.0,1,0.98333
2000-12-30,1.40833,170.0,1,1.5219
2000-12-31,1.23889,320.0,1,1.3591
2001-01-01,0.7,150.0,1,0.80593
2001-01-02,0.52917,420.0,1,0.67479
2001-01-03,0.88889,110.0,1,0.92311
2001-01-04,0.81111,0.0,0,0.81111
2001-01-05,1.03333,0.0,0,1.03333
2001-01-06,1.12222,250.0,1,1.20093
2001-01-07,0.46458,350.0,1,0.51048
2001-01-08,0.65,40.0,1,0.66097
2001-01-09,1.04167,0.0,0,1.04167
2001-01-10,0.95833,0.0,0,0.95833
2001-01-11,0.81111,0.0,0,0.81111
2001-01-12,0.9,0.0,0,0.9
2001-01-13,0.81667,410.0,1,1.22008
2001-01-14,0.69167,240.0,1,0.75706
2001-01-15,0.7375,0.0,0,0.7375
2001-01-16,0.5,450.0,1,0.60846
2001-01-17,0.67,0.0,0,0.67
2001-01-18,0.51333,0.0,0,0.51333
2001-01-19,1.075,0.0,0,1.075
2001-01-20,1.6,0.0,0,1.6
2001-01-21,0.66,110.0,1,0.68538
2001-01-22,0.70667,0.0,0,0.70667
2001-01-23,0.85556,0.0,0,0.85556
2001-01-24,0.725,0.0,0,0.725
2001-01-25,0.71667,0.0,0,0.71667
2001-01-26,0.85,0.0,0,0.85
2001-01-27,0.56667,600.0,1,0.75176
2001-01-28,0.76389,200.0,1,0.80526
2001-01-29,0.85833,0.0,0,0.85833
2001-01-30,0.50833,0.0,0,0.50833
2001-01-31,0.72778,0.0,0,0.72778
2001-02-01,0.64333,640.0,1,0.81308
2001-02-02,0.71,760.0,1,0.90605
2001-02-03,0.56667,280.0,1,0.61298
2001-02-04,0.58333,580.0,1,0.75299
2001-02-05,0.975,160.0,1,1.03777
2001-02-06,0.61389,810.0,1,0.81471
2001-02-07,1.125,20.0,1,1.13246
2001-02-08,0.75278,40.0,1,0.7613
2001-02-09,1.25,30.0,1,1.26411
2001-02-10,1.25,0.0,0,1.25
2001-02-11,0.64444,10.0,1,0.64646
2001-02-12,0.75556,90.0,1,0.78056
2001-02-13,0.79167,50.0,1,0.8033
2001-02-14,0.9,180.0,1,0.95676
2001-02-15,0.58333,0.0,0,0.58333
2001-02-16,0.79,590.0,1,0.98556
2001-02-17,0.86667,0.0,0,0.86667
2001-02-18,0.54167,360.0,1,0.62943
2001-02-19,0.92083,210.0,1,0.98085
2001-02-20,1.67222,40.0,1,1.69258
2001-02-21,0.87222,600.0,1,1.16235
2001-02-22,0.75833,0.0,0,0.75833
2001-02-23,1.08333,0.0,0,1.08333
2001-02-24,0.85238,730.0,1,0.98107
2001-02-25,0.61667,550.0,1,0.87324
2001-02-26,0.625,40.0,1,0.62834
2001-02-27,0.6619,0.0,0,0.6619
2001-02-28,0.90333,0.0,0,0.90333
2001-03-01,0.83333,410.0,1,0.96371
2001-03-02,1.05556,0.0,0,1.05556
2001-03-03,0.68333,0.0,0,0.68333
2001-03-04,0.59167,160.0,1,0.6157
2001-03-05,0.91,0.0,0,0.91
2001-03-06,0.77222,0.0,0,0.77222
2001-03-07,0.88667,150.0,1,0.92193
2001-03-08,1.05417,0.0,0,1.05417
2001-03-09,0.88333,0.0,0,0.88333
2001-03-10,0.80556,0.0,0,0.80556
2001-03-11,0.625,300.0,1,0.68334
2001-03-12,0.76389,50.0,1,0.7738
2001-03-13,0.99167,0.0,0,0.99167
2001-03-14,0.82,50.0,1,0.83184
2001-03-15,1.05417,0.0,0,1.05417
2001-03-16,0.76,0.0,0,0.76
2001-03-17,0.50714,290.0,1,0.54032
2001-03-18,0.61667,0.0,0,0.61667
2001-03-19,1.32222,50.0,1,1.33915
2001-03-20,0.64524,40.0,1,0.65305
2001-03-21,1.03333,0.0,0,1.03333
2001-03-22,1.05833,0.0,0,1.05833
2001-03-23,0.97083,0.0,0,0.97083
2001-03-24,1.025,0.0,0,1.025
2001-03-25,1.04167,740.0,1,1.50264
2001-03-26,0.78667,21.0,1,0.79047
2001-03-27,1.18889,170.0,1,1.2714
2001-03-28,0.83,740.0,1,1.0602
2001-03-29,0.71944,60.0,1,0.73174
2001-03-30,1.23889,110.0,1,1.27775
2001-03-31,0.75278,0.0,0,0.75278
2001-04-01,1.225,20.0,1,1.23679
2001-04-02,1.57222,50.0,1,1.59607
2001-04-03,1.52778,90.0,1,1.57017
2001-04-04,1.50556,0.0,0,1.50556
2001-04-05,1.37778,80.0,1,1.40984
2001-04-06,1.19583,0.0,0,1.19583
2001-04-07,0.87667,150.0,1,0.92441
2001-04-08,1.6,0.0,0,1.6
2001-04-09,1.33333,0.0,0,1.33333
2001-04-10,1.34444,0.0,0,1.34444
2001-04-11,1.3375,110.0,1,1.37921
2001-04-12,1.55556,0.0,0,1.55556
2001-04-13,1.15,0.0,0,1.15
2001-04-14,0.68542,130.0,1,0.7125
2001-04-15,0.71667,410.0,1,0.89664
2001-04-16,0.90833,100.0,1,0.93545
2001-04-17,0.77333,510.0,1,0.90442
2001-04-18,1.20556,170.0,1,1.28543
2001-04-19,0.95417,0.0,0,0.95417
2001-04-20,0.65952,0.0,0,0.65952
2001-04-21,0.67917,200.0,1,0.73045
2001-04-22,0.86111,40.0,1,0.87786
2001-04-23,0.80278,30.0,1,0.81012
2001-04-24,0.7125,420.0,1,0.8875
2001-04-25,0.59167,0.0,0,0.59167
2001-04-26,0.66905,0.0,0,0.66905
2001-04-27,0.75333,0.0,0,0.75333
2001-04-28,0.7,30.0,1,0.71607
2001-04-29,0.5625,190.0,1,0.6255
2001-04-30,1.74333,0.0,0,1.74333
2001-05-01,0.9875,0.0,0,0.9875
2001-05-02,0.99167,0.0,0,0.99167
2001-05-03,0.76944,0.0,0,0.76944
2001-05-04,1.01111,0.0,0,1.01111
2001-05-05,0.81667,170.0,1,0.88974
2001-05-06,0.75,120.0,1,0.81667
2001-05-07,0.89,250.0,1,0.9603
2001-05-08,0.9,210.0,1,0.95415
2001-05-09,0.73667,180.0,1,0.79303
2001-05-10,0.725,50.0,1,0.73889
2001-05-11,0.94333,0.0,0,0.94333
2001-05-12,0.70417,180.0,1,0.74979
2001-05-13,1.04167,20.0,1,1.04954
2001-05-14,0.56042,100.0,1,0.57972
2001-05-15,0.68333,200.0,1,0.72035
2001-05-16,0.63095,140.0,1,0.66235
2001-05-17,1.43333,0.0,0,1.43333
2001-05-18,1.08333,390.0,1,1.31696
2001-05-19,0.60417,390.0,1,0.65027
2001-05-20,0.41389,360.0,1,0.45
2001-05-21,0.89583,770.0,1,1.16477
2001-05-22,1.21667,110.0,1,1.25671
2001-05-23,0.69167,330.0,1,0.78333
2001-05-24,1.48889,200.0,1,1.5886
2001-05-25,0.96667,550.0,1,1.12012
2001-05-26,0.62333,460.0,1,0.774
2001-05-27,0.54,180.0,1,0.59184
2001-05-28,0.65833,0.0,0,0.65833
2001-05-29,0.46833,80.0,1,0.48015
2001-05-30,0.83,30.0,1,0.8367
2001-05-31,0.97917,0.0,0,0.97917
2001-06-01,0.75,510.0,1,0.90655
2001-06-02,0.725,930.0,1,0.98623
2001-06-03,0.50625,710.0,1,0.58377
2001-06-04,0.79333,20.0,1,0.79596
2001-06-05,0.82333,330.0,1,0.909
2001-06-06,1.00667,140.0,1,1.04256
2001-06-07,0.78667,0.0,0,0.78667
2001-06-08,0.89583,0.0,0,0.89583
2001-06-09,0.86389,0.0,0,0.86389
2001-06-10,1.53889,40.0,1,1.55556
2001-06-11,0.85556,0.0,0,0.85556
2001-06-12,0.61389,250.0,1,0.65708
2001-06-13,0.55833,170.0,1,0.58271
2001-06-14,0.68333,0.0,0,0.68333
2001-06-15,0.85,0.0,0,0.85
2001-06-16,1.04167,210.0,1,1.13658
2001-06-17,0.70556,70.0,1,0.72612
2001-06-18,0.69667,0.0,0,0.69667
2001-06-19,0.90667,0.0,0,0.90667
2001-06-20,1.06111,0.0,0,1.06111
2001-06-21,0.65,0.0,0,0.65
2001-06-22,0.9,70.0,1,0.91998
2001-06-23,0.86667,280.0,1,0.98333
2001-06-24,0.8125,120.0,1,0.84861
2001-06-25,0.58611,270.0,1,0.64678
2001-06-26,0.74333,330.0,1,0.83631
2001-06-27,1.21111,40.0,1,1.22465
2001-06-28,0.68056,140.0,1,0.70553
2001-06-29,0.80556,60.0,1,0.81824
2001-06-30,0.85417,70.0,1,0.86741
2001-07-01,0.70833,480.0,1,0.85942
2001-07-02,0.55833,80.0,1,0.57698
2001-07-03,0.88333,0.0,0,0.88333
2001-07-04,0.62857,0.0,0,0.62857
2001-07-05,0.85667,30.0,1,0.86564
2001-07-06,0.82,0.0,0,0.82
2001-07-07,0.53542,180.0,1,0.55288
2001-07-08,0.84333,520.0,1,0.96522
2001-07-09,0.84333,320.0,1,0.89927
2001-07-10,0.8875,150.0,1,0.92011
2001-07-11,0.75,70.0,1,0.76148
2001-07-12,0.77667,100.0,1,0.79627
2001-07-13,0.84,50.0,1,0.84872
2001-07-14,0.71667,50.0,1,0.7253
2001-07-15,1.01667,0.0,0,1.01667
2001-07-16,0.76333,60.0,1,0.77833
2001-07-17,0.99333,70.0,1,1.00815
2001-07-18,0.63333,0.0,0,0.63333
2001-07-19,0.81,0.0,0,0.81
2001-07-20,1.25,30.0,1,1.26384
2001-07-21,0.87667,0.0,0,0.87667
2001-07-22,0.73333,0.0,0,0.73333
2001-07-23,1.09444,0.0,0,1.09444
2001-07-24,1.02778,0.0,0,1.02778
2001-07-25,0.75,0.0,0,0.75
2001-07-26,0.87333,0.0,0,0.87333
2001-07-27,0.64444,50.0,1,0.65584
2001-07-28,0.675,0.0,0,0.675
2001-07-29,0.69167,270.0,1,0.77936
2001-07-30,0.60417,290.0,1,0.66092
2001-07-31,0.49722,120.0,1,0.52075
2001-08-01,1.37222,30.0,1,1.38148
2001-08-02,0.6619,0.0,0,0.6619
2001-08-03,1.14444,0.0,0,1.14444
2001-08-04,0.70333,160.0,1,0.73412
2001-08-05,1.27778,260.0,1,1.36618
2001-08-06,0.89583,220.0,1,0.97704
2001-08-07,1.01667,280.0,1,1.10691
2001-08-08,0.77667,80.0,1,0.79465
2001-08-09,0.84667,620.0,1,1.03458
2001-08-10,0.74167,1290.0,1,1.0964
2001-08-11,0.50833,510.0,1,0.60591
2001-08-12,0.46667,290.0,1,0.5069
2001-08-13,0.85667,190.0,1,0.92
2001-08-14,0.75333,420.0,1,0.87318
2001-08-15,0.95417,20.0,1,0.96098
2001-08-16,0.79667,50.0,1,0.80418
2001-08-17,0.83,20.0,1,0.83667
2001-08-18,0.72333,50.0,1,0.73288
2001-08-19,0.77,410.0,1,0.87202
2001-08-20,0.66111,0.0,0,0.66111
2001-08-21,0.8875,40.0,1,0.89552
2001-08-22,0.79333,290.0,1,0.85664
2001-08-23,0.75714,50.0,1,0.75714
2001-08-24,1.17917,0.0,0,1.17917
2001-08-25,0.85,20.0,1,0.85833
2001-08-26,0.76667,430.0,1,0.97888
2001-08-27,0.57857,350.0,1,0.65101
2001-08-28,0.93333,410.0,1,1.0681
2001-08-29,0.60625,190.0,1,0.6452
2001-08-30,0.45333,1180.0,1,0.8142
2001-08-31,0.65556,50.0,1,0.66377
2001-09-01,0.90833,260.0,1,1.02327
2001-09-02,0.88889,320.0,1,0.97706
2001-09-03,1.17222,270.0,1,1.253
2001-09-04,1.25556,150.0,1,1.29811
2001-09-05,1.25556,0.0,0,1.25556
2001-09-06,1.18889,0.0,0,1.18889
2001-09-07,1.32778,0.0,0,1.32778
2001-09-08,0.95833,0.0,0,0.95833
2001-09-09,0.87778,620.0,1,1.06447
2001-09-10,1.19444,20.0,1,1.20493
2001-09-12,3.21667,0.0,0,3.21667
2001-09-13,2.98333,0.0,0,2.98333
2001-09-14,3.30833,0.0,0,3.30833
2001-09-15,1.64167,0.0,0,1.64167
2001-09-16,1.44167,0.0,0,1.44167
2001-09-17,1.40556,0.0,0,1.40556
2001-09-18,0.95833,820.0,1,1.63369
2001-09-19,1.09667,0.0,0,1.09667
2001-09-20,1.63889,0.0,0,1.63889
2001-09-21,1.31667,0.0,0,1.31667
2001-09-22,1.58333,0.0,0,1.58333
2001-09-23,1.36111,0.0,0,1.36111
2001-09-24,1.09167,0.0,0,1.09167
2001-09-25,1.1,0.0,0,1.1
2001-09-26,0.88333,40.0,1,0.89968
2001-09-27,1.26667,0.0,0,1.26667
2001-09-28,1.2,50.0,1,1.22648
2001-09-29,1.06667,130.0,1,1.19388
2001-09-30,0.85556,10.0,1,0.86078
2001-10-01,1.03333,0.0,0,1.03333
2001-10-02,0.9,10.0,1,0.90495
2001-10-03,0.94167,30.0,1,0.95474
2001-10-04,0.76667,240.0,1,0.82766
2001-10-05,0.74333,810.0,1,0.99569
